actors,categoryname,cityname,description,name,price,showtime
艺人：沈以诚,演唱会,北京,艺人：沈以诚,沈以诚「盛宴」个人演唱会-北京站,388.0,2024.03.30 周六 19:30
艺人：陈鸿宇,演唱会,北京,艺人：陈鸿宇,2024陈鸿宇：“行歌2.0”巡演 北京站,280.0,2024.03.30 周六 19:30
艺人：王菀之,演唱会,北京,艺人：王菀之,王菀之2024初回限定巡回音乐会-北京站,380.0,2024.04.12 周五 20:00
,演唱会,北京,,跨越二次元ACG神级动漫世界巡回演唱会——北京站,60.0,2024.03.27 周三 19:30
艺人：Kings of Convenience,演唱会,北京,艺人：Kings of Convenience,挪威民谣组合Kings Of Convenience专场演出北京站【虾米呈现】,380.0,2024.03.13 周三 20:30
,演唱会,北京,,【沉浸式演出】音乐live现场｜乐队的每天【派对专场】流行金曲｜嗨歌联盟-巡演呈现,99.0,2024.02.26-03.31
艺人：HAYA乐团,演唱会,北京,艺人：HAYA乐团,天地逆旅-HAYA乐团北展演唱会,280.0,2024.03.29 周五 19:30
,演唱会,北京,,新年音乐【金曲演唱会】之夜跨界之音，流行乐演唱会专场,59.0,2024.03.02-04.14
,演唱会,北京,,【早鸟5折】“霓虹·繁花”——国语经典Live&Bar,220.0,2024.03.08 周五 19:30
艺人：Rie fu,演唱会,北京,艺人：Rie fu,Rie fu日本知名唱作歌手2024出道20周年中国巡回演唱会,280.0,2024.05.18 周六 20:00
,演唱会,北京,,03.01｜KPOP ALL NIGHT「女团专场」粉丝派对·夜猫俱乐部 全场畅饮！,99.0,2024.03.01-03.02
,演唱会,北京,,DOKI二次元派对3.0·春日趴｜全女生酒局｜酒水畅饮｜蹦迪狂欢！｜随舞歌单｜仅面向女生,169.0,2024.03.23 周六 14:00
艺人：春日玫瑰,演唱会,北京,艺人：春日玫瑰,「万朵」—春日玫瑰2024新专辑巡演 北京站,100.0,2024.04.20 周六 20:00
,演唱会,北京,,3.16【春心躁动电音节】1.0｜开春首蹦！心跳开燥｜酒水畅饮｜脱单狂欢,49.0,2024.03.16 周六 15:00
,演唱会,北京,,【早鸟5折】「今声·千里侠客行」——《刀剑如梦》《生生世世爱》《杀破狼》大热武侠名曲live现场,220.0,2024.03.10 周日 19:30
艺人：吕思纬、萧秉治,演唱会,北京,艺人：吕思纬、萧秉治,GX《大玩一票ALL YOU CAN PLAY》巡回演唱会-北京站,200.0,2024.03.31 周日 19:30
,演唱会,北京,,【挪威的森林】伍佰、任贤齐魔性情歌之夜演唱会|从“突然的自我”听到“伤心太平洋”——北京,180.0,2024.03.23 周六 20:00
,演唱会,北京,,北京 | 3.1 Leo1Bee 「旷野」首唱会,178.0,2024.03.01 周五 20:00
,演唱会,北京,,【早鸟7折】「“今声”·离人不归」《爱殇》《不染》《生生世世爱》绝美古风名曲LIVE&BAR,220.0,2024.04.12 周五 19:30
,演唱会,北京,,“月亮代表我的心”纪念邓丽君金曲交响演唱会,180.0,2024.03.08 周五 19:30
,演唱会,北京,,【Bad News呈现】re:plus 2024巡演 北京站,260.0,2024.02.28 周三 20:00
,演唱会,北京,,北京｜3.7 Viviana Zarbo特别专场：I‘m A Woman In Jazz,260.0,2024.03.07 周四 20:00
,演唱会,北京,,3.16 |夜猫俱乐部「YG TYPE」KPOP ALL NIGHT 家族系列YG专场 全场畅饮！,99.0,2024.03.16-03.17
,演唱会,北京,,A公馆+黑薄荷北京双专场！,159.0,2024.03.02 周六 20:00
,演唱会,北京,,【限时5折】「神秘园之歌」唯美经典音乐作品live现场,280.0,2024.03.15 周五 19:30
,演唱会,北京,,【5折】“今声·千禧隧道的「十年」”——《断桥残雪》《十年》《青花瓷》经典名曲live&BAR,220.0,2024.03.01-03.21
,演唱会,北京,,大宽「你爱的海浪，我种的花草」个人巡演 北京站,110.0,2024.04.20 周六 19:30
,演唱会,北京,,钢心×对角巷北京双专场！,149.0,2024.03.09 周六 20:00
,演唱会,北京,,【早鸟5折】“千禧隧道的「十年」”——《断桥残雪》《十年》《青花瓷》经典名曲live现场,220.0,2024.03.16 周六 21:00
艺人：肆囍乐队、桃子假象,演唱会,北京,艺人：肆囍乐队、桃子假象,「春日舞曲」肆囍+桃子假象+刻奇,139.0,2024.03.30 周六 20:00
