username,content,reply_time
一贱惊鸿十九州,没有质疑是不是刷的，不过抖亿播放都很少见的，B不是看到人更少吗？,2024-02-15 20:29
ichu永远永远,我觉得最多就是买流量了,2024-02-15 20:31
,没看过，不清楚,2024-02-15 20:53
qtrlmusic,B站总共好像也就几千万用户吧,2024-02-15 21:02
sfu525,电棍硅胶每天都有人反复刷，不奇怪,2024-02-17 09:01
zsw56210856,抖可能是分流多吧，抖的tag可是动不动几亿十几亿播放来着,2024-02-17 13:13
红针花瓣,1.让子弹飞本身就有话题度，容易引流；,2024-02-17 13:18
坑爹老坑,有一说一还挺好听的。,2024-02-17 20:33
许玕顺德容桂,调的可以配上它现在的播放量，但是现在还有3000+我觉得有买的嫌疑，或者是最近b站热搜带的热度也说不定,2024-02-17 20:50
叶子打比啦,反复看 正常 这个视频在相关视频下面都有推送 刷着刷着又点回去看一遍了,2024-02-17 23:21
Q422926885,这个最火时一堆人开着洗脑循环放的,2024-02-18 01:37
核弹黄人逊,罗翔3000w了,2024-02-18 01:39
鲶笠矢的尾巴呢,有些视频播放量高是推送的原因，你刷来刷去还是会回到这个视频，索性就点进去重温了,2024-02-18 06:54
12346亲亲亲,太好看了,2024-02-18 07:36
39民国,挺好看的,2024-02-18 10:11
